Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2024-10-29,2617.8,1,5.37,0.21,2606.94,2617.8,2595.86,363290058,9341171256858,2134424479869187.2
2024-10-30,2593.79,2,-24.01,-0.92,2606.99,2613.47,2586.88,487359045,9067046289191,2114675137976876.8
2024-10-31,2556.15,2,-37.64,-1.45,2575.24,2579.65,2552.36,406613036,10980673439062,2083807734485504.8
2024-11-01,2542.36,2,-13.79,-0.54,2542.96,2559.3,2536.84,319848769,7944318405637,2072677282762738.0
2024-11-04,2588.97,1,46.61,1.83,2549.04,2588.97,2542.68,373943470,8064748773264,2110215065385316.8
2024-11-05,2576.88,2,-12.09,-0.47,2570.24,2586.73,2564.66,310875315,7716007774972,2100113789116178.0
2024-11-06,2563.51,2,-13.37,-0.52,2591.9,2592.75,2544.04,548506117,11791887929674,2089044036625020.8
2024-11-07,2564.63,1,1.12,0.04,2557.23,2579.81,2540.48,465146173,10809704016429,2089840468646244.0
2024-11-08,2561.15,2,-3.48,-0.14,2586.7,2593.15,2553.42,448734499,9921212340072,2087229089933475.2
2024-11-11,2531.66,2,-29.49,-1.15,2562.05,2562.05,2525.56,572196827,11290168186878,2062998743903726.0
2024-11-12,2482.57,2,-49.09,-1.94,2527.94,2532.44,2481.53,735812780,12848018036593,2022644867370756.8
2024-11-13,2417.08,2,-65.49,-2.64,2468.27,2478.87,2415.77,619176261,11208360429193,1970663209161735.2
2024-11-14,2418.86,1,1.78,0.07,2430.26,2441.43,2410.93,639989952,13017388247182,1972611776340116.8
2024-11-15,2416.86,2,-2.0,-0.08,2413.05,2433.18,2390.56,623327161,12365758546178,1973513509553940.0
2024-11-18,2469.07,1,52.21,2.16,2440.31,2480.01,2437.53,443925881,10621301146512,2017377526672606.0
2024-11-19,2471.95,1,2.88,0.12,2469.13,2479.39,2465.15,410856127,9085861075487,2019146278738576.0
2024-11-20,2482.29,1,10.34,0.42,2475.76,2489.15,2471.79,408789732,7820084740597,2033134230437159.2
2024-11-21,2480.63,2,-1.66,-0.07,2474.62,2496.97,2474.62,451118534,8356409257842,2032824142509323.2
2024-11-22,2501.24,1,20.61,0.83,2493.42,2511.23,2492.21,543517791,8017171405214,2048900260074806.0
2024-11-25,2534.34,1,33.1,1.32,2524.11,2541.76,2517.98,564692445,13495227553966,2075112931767044.0
2024-11-26,2520.36,2,-13.98,-0.55,2521.39,2526.62,2512.21,441708781,8709923196814,2064372965736248.0
2024-11-27,2503.06,2,-17.3,-0.69,2518.82,2526.32,2498.32,414339138,8586048743292,2049072449824867.2
2024-11-28,2504.67,1,1.61,0.06,2499.69,2513.63,2495.64,342571105,7572752629681,2050357986144084.8
2024-11-29,2455.91,2,-48.76,-1.95,2496.93,2496.93,2446.96,384278001,9106481521439,2011421418734674.0
2024-12-02,2454.48,2,-1.43,-0.06,2479.02,2483.29,2448.45,328109545,7591739683478,2009713877727404.0
2024-12-03,2500.1,1,45.62,1.86,2472.06,2500.67,2471.55,324137730,9145172832624,2046261046449732.0
2024-12-04,2464.0,2,-36.1,-1.44,2450.76,2483.04,2442.46,670284268,13296925007005,2016934529725719.2
2024-12-05,2441.85,2,-22.15,-0.9,2471.45,2471.45,2434.78,519351593,9720715707167,1999305298106164.0
2024-12-06,2428.16,2,-13.69,-0.56,2451.6,2459.24,2397.73,630408602,10726880321289,1988510021328156.0
2024-12-09,2360.58,2,-67.58,-2.78,2392.37,2399.52,2360.18,591644435,10004534867179,1933161934819931.2
2024-12-10,2417.84,1,57.26,2.43,2384.51,2419.06,2384.51,598770280,9303804224973,1979769346742696.0
2024-12-11,2442.51,1,24.67,1.02,2412.15,2443.34,2411.38,617716470,7745860519277,1999754741961752.0
2024-12-12,2482.12,1,39.61,1.62,2456.63,2487.95,2448.76,664187237,12259144225557,2032250619015376.0
2024-12-13,2494.46,1,12.34,0.5,2473.75,2500.32,2470.24,577737398,8849455236945,2042115883546408.0
2024-12-16,2488.97,2,-5.49,-0.22,2511.08,2515.62,2483.43,526708153,8466421567755,2037825063390027.2
2024-12-17,2456.81,2,-32.16,-1.29,2487.31,2487.31,2455.05,559039721,9284835596090,2010343832541547.2
