Date,Open,High,Low,Close,Volume,Change
2023-05-09,209000,214500,208500,211000,1855368,1.93
2023-05-10,211000,212500,206500,210000,763447,-0.47
2023-05-11,213000,216000,210500,211000,825757,0.48
2023-05-12,212000,214000,210000,213500,666880,1.18
2023-05-15,212000,213500,207500,212000,584184,-0.7
2023-05-16,212500,213500,207000,207500,528940,-2.12
2023-05-17,207500,214000,207500,213000,538104,2.65
2023-05-18,213500,214000,210000,212500,378470,-0.23
2023-05-19,214000,217000,212500,216500,870698,1.88
2023-05-22,215500,218000,214000,215000,534887,-0.69
2023-05-23,215500,216000,211500,212000,550247,-1.4
2023-05-24,208000,209500,202500,203000,1210194,-4.25
2023-05-25,202500,207500,202500,206000,791642,1.48
2023-05-26,204500,207000,202500,202500,505880,-1.7
2023-05-30,205000,205000,200500,201500,609318,-0.49
2023-05-31,201500,203000,199100,199500,993582,-0.99
2023-06-01,199900,204000,199900,204000,547388,2.26
2023-06-02,204500,205000,202500,204500,405330,0.25
2023-06-05,205500,206500,204000,204500,428762,0.0
2023-06-07,206500,208000,204000,205000,553505,0.24
2023-06-08,203000,203500,200000,200500,717690,-2.2
2023-06-09,202000,205000,200500,200500,546093,0.0
2023-06-12,202500,203500,199700,200500,417698,0.0
2023-06-13,202000,203000,199600,201000,565013,0.25
2023-06-14,201000,202000,198300,199200,666340,-0.9
2023-06-15,200000,202500,199900,200500,557684,0.65
2023-06-16,202500,204500,202000,202500,751013,1.0
2023-06-19,202500,202500,198500,198600,669785,-1.93
2023-06-20,199500,201000,197900,198500,437974,-0.05
2023-06-21,199100,199200,189900,189900,1358963,-4.33
2023-06-22,189400,193200,189300,191300,580244,0.74
2023-06-23,191500,192000,188900,188900,689964,-1.25
2023-06-26,187700,191200,187600,188900,489487,0.0
2023-06-27,188000,188000,184100,185900,877288,-1.59
2023-06-28,187500,188100,182800,184800,717140,-0.59
2023-06-29,183800,186200,183400,183400,578195,-0.76
2023-06-30,183300,184500,180600,182800,683584,-0.33
2023-07-03,182800,190600,182800,189300,869777,3.56
2023-07-04,188200,190200,186700,188700,491576,-0.32
2023-07-05,188000,190200,186500,186500,686759,-1.17
2023-07-06,185500,196200,185500,195500,1503767,4.83
2023-07-07,195600,197300,193800,195000,832803,-0.26
2023-07-10,195000,196300,192700,193200,509523,-0.92
2023-07-11,196700,197600,194600,197400,524208,2.17
2023-07-12,197400,202500,195700,202000,865666,2.33
2023-07-13,204500,206500,199500,199700,941626,-1.14
2023-07-14,202000,204500,200500,204500,739825,2.4
2023-07-17,206000,207000,202500,206500,705819,0.98
2023-07-18,205500,209500,204500,209000,803341,1.21
2023-07-19,209500,209500,204500,204500,687227,-2.15
2023-07-20,202500,208500,202500,204500,578731,0.0
2023-07-21,202500,206500,200500,206000,629745,0.73
2023-07-24,205500,206500,201500,203000,662414,-1.46
2023-07-25,202000,203500,199300,201000,661241,-0.99
2023-07-26,201500,202500,194900,197700,1068784,-1.64
2023-07-27,197500,212000,197000,211500,1442727,6.98
2023-07-28,211500,212500,206000,211000,952122,-0.24
2023-07-31,214500,228000,212500,227000,2725703,7.58
2023-08-01,232500,239500,230500,233000,3102468,2.64
2023-08-02,235000,235000,226000,227500,1388773,-2.36
2023-08-03,226500,227500,219000,223000,1430439,-1.98
2023-08-04,230500,235500,220000,223500,2561625,0.22
2023-08-07,226500,241500,225000,234500,3055268,4.92
2023-08-08,241000,241500,223000,223000,1933999,-4.9
2023-08-09,225000,232500,224000,227500,1277473,2.02
2023-08-10,223500,225000,220000,225000,928409,-1.1
2023-08-11,227000,231500,222000,222000,939248,-1.33
2023-08-14,222500,224500,220500,221000,572079,-0.45
2023-08-16,219500,225500,218000,222500,943493,0.68
2023-08-17,221000,222000,216000,218000,880587,-2.02
2023-08-18,213500,217500,211000,212500,886686,-2.52
2023-08-21,213000,218000,213000,214500,691652,0.94
2023-08-22,218000,224500,217000,221000,1005692,3.03
2023-08-23,222000,222000,215500,215500,868139,-2.49
2023-08-24,221000,235000,218500,229000,3013711,6.26
2023-08-25,221500,222000,210500,211000,2072800,-7.86
2023-08-28,213000,213500,210000,213500,695518,1.18
2023-08-29,213500,218500,213500,218000,805948,2.11
2023-08-30,221000,222000,216500,217500,600149,-0.23
2023-08-31,217500,219000,213000,214500,808546,-1.38
2023-09-01,215000,215500,212000,214500,569772,0.0
2023-09-04,213500,214000,207500,211500,660388,-1.4
2023-09-05,211500,213000,209500,212000,390882,0.24
2023-09-06,210500,214500,207500,214000,808331,0.94
2023-09-07,216000,222000,214500,216500,1234068,1.17
2023-09-08,218000,218000,212500,215000,595117,-0.69
2023-09-11,214000,214500,210000,211500,724040,-1.63
2023-09-12,213500,222500,213000,219500,1284472,3.78
2023-09-13,220000,222000,215500,222000,923349,1.14
