Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2024-01-18,840.33,1,7.28,0.87,834.01,848.63,830.06,1167940492,9516586886511,397229288077207.0
2024-01-19,842.67,1,2.34,0.28,848.66,856.05,837.87,1220560704,11330008924272,398160126936472.0
2024-01-22,839.69,2,-2.98,-0.35,848.87,849.32,836.89,1320572642,12853804835041,396689616318072.0
2024-01-23,840.11,1,0.42,0.05,840.62,848.65,833.24,1248018390,11778754822620,396984730255445.0
2024-01-24,836.21,2,-3.9,-0.46,841.45,842.9,828.12,1417438154,10670434214130,395557643219167.0
2024-01-25,823.74,2,-12.47,-1.49,833.34,833.34,820.64,1565969491,12874009155884,390353310452432.0
2024-01-26,837.24,1,13.5,1.64,818.76,839.52,817.06,1238780423,11242548125217,398079081213062.0
2024-01-29,819.14,2,-18.1,-2.16,841.21,841.21,815.54,1246813222,13191517578360,384137204369443.0
2024-01-30,818.86,2,-0.28,-0.03,826.0,828.54,811.57,1097207246,9727934440282,383976054539469.0
2024-01-31,799.24,2,-19.62,-2.4,813.8,818.9,799.24,1137249797,8642360135086,374861916613184.0
2024-02-01,798.73,2,-0.51,-0.06,796.26,800.91,786.28,1124844785,8978321425595,375252532726266.0
2024-02-02,814.77,1,16.04,2.01,803.71,817.74,803.71,1096190538,8618911062683,382771284007782.0
2024-02-05,807.99,2,-6.78,-0.83,812.28,813.83,807.36,974415250,7775026603080,379742624320544.0
2024-02-06,807.03,2,-0.96,-0.12,804.36,808.39,795.37,1065542735,9727051601170,379490521402460.0
2024-02-07,811.92,1,4.89,0.61,811.51,820.06,809.18,827984256,9325176029736,381548030041766.0
2024-02-08,826.58,1,14.66,1.81,816.82,828.03,816.27,912499052,9579201514705,388825224165147.0
2024-02-13,845.15,1,18.57,2.25,831.14,846.58,830.66,896289730,11292053996603,397516310558390.0
2024-02-14,853.3,1,8.15,0.96,833.24,854.44,831.56,1086775918,11435373890607,401324744348004.0
2024-02-15,859.21,1,5.91,0.69,860.13,861.37,852.79,1222187510,11203385441976,404623030938354.0
2024-02-16,857.6,2,-1.61,-0.19,863.69,864.24,854.72,1339167323,11690978646367,403874229640531.0
2024-02-19,858.47,1,0.87,0.1,854.28,862.08,853.52,1272095442,11285246481581,404544728704770.0
2024-02-20,866.17,1,7.7,0.9,858.08,866.17,854.58,1394893803,11980946563838,408188873512280.0
2024-02-21,864.07,2,-2.1,-0.24,861.58,872.38,860.91,1725464787,14794255236392,407078074686839.0
2024-02-22,870.11,1,6.04,0.7,868.22,871.46,864.56,1482220235,13534556564643,410057237761465.0
2024-02-23,868.57,2,-1.54,-0.18,873.21,875.58,866.22,1490439010,14804334693081,410504407921475.0
2024-02-26,867.4,2,-1.17,-0.13,869.08,872.52,866.43,1219639452,10721420985986,410041400279230.0
2024-02-27,853.75,2,-13.65,-1.57,870.1,870.1,850.77,1190362944,11046065536383,403626145391387.0
2024-02-28,863.39,1,9.64,1.13,859.78,868.71,858.56,1102228439,11873586247691,407720652818802.0
2024-02-29,862.96,2,-0.43,-0.05,862.55,865.88,858.3,1371169761,10859125300334,407740050432001.0
2024-03-04,872.97,1,10.01,1.16,869.36,875.3,869.36,1138979262,11042246583664,412454545421270.0
2024-03-05,866.37,2,-6.6,-0.76,869.36,869.36,863.4,1214968007,11740940868911,409359773875014.0
2024-03-06,870.67,1,4.3,0.5,861.67,872.06,859.71,1112038813,11395838825505,411132718480225.0
2024-03-07,863.37,2,-7.3,-0.84,874.3,874.53,860.01,1142628897,12198653870356,408056247369613.0
2024-03-08,873.18,1,9.81,1.14,869.18,873.18,866.18,1270638021,12751303417453,412693945032967.0
2024-03-11,875.93,1,2.75,0.31,870.41,875.93,868.48,1076998269,11219824702863,414043080903195.0
2024-03-12,889.71,1,13.78,1.57,877.37,889.71,876.62,1056987563,11572840586636,420464094646659.0
2024-03-13,889.93,1,0.22,0.02,892.41,894.39,881.33,1207088059,13226875241673,421190651134097.0
2024-03-14,887.52,2,-2.41,-0.27,889.53,892.31,881.95,1073829911,10621404057471,420175475244887.0
2024-03-15,880.46,2,-7.06,-0.8,882.67,884.6,875.87,1106771785,9667731062753,416940444434001.0
2024-03-18,894.48,1,14.02,1.59,882.58,894.48,882.58,973184054,9027309386933,423616009966886.0
2024-03-19,891.91,2,-2.57,-0.29,893.49,893.49,884.45,1104514231,9613691090770,422378340879205.0
2024-03-20,891.45,2,-0.46,-0.05,894.34,896.44,890.0,1053005260,9692220933440,422153103145616.0
2024-03-21,904.29,1,12.84,1.44,900.46,906.26,899.24,1066401786,10668754283536,429151069389985.0
2024-03-22,903.98,2,-0.31,-0.03,902.7,905.64,900.84,1075161967,9982250423062,429265060287089.0
2024-03-25,913.69,1,9.71,1.07,906.45,916.01,905.7,961278468,9321800664109,434141685509001.0
2024-03-26,916.09,1,2.4,0.26,915.49,922.57,910.86,1041934854,13452124683478,436174066372717.0
2024-03-27,911.25,2,-4.84,-0.53,914.33,918.49,905.26,1138180570,12664349741061,433806535353528.0
2024-03-28,910.05,2,-1.2,-0.13,912.33,914.38,908.98,1095621429,12312957383477,433258803118451.0
2024-03-29,905.5,2,-4.55,-0.5,912.31,914.25,903.61,946867591,11675532452047,431430814339863.0
2024-04-01,912.45,1,6.95,0.77,909.62,920.05,907.48,914266500,10050371163564,434746969233992.0
2024-04-02,891.59,2,-20.86,-2.29,912.07,913.79,888.88,1037752687,12348933930894,424737292031838.0
2024-04-03,879.96,2,-11.63,-1.3,883.22,883.95,874.77,994522707,12269823284174,419811193268135.0
2024-04-04,882.9,1,2.94,0.33,885.53,889.7,878.12,979416341,11502171482762,421152663985379.0
2024-04-05,872.29,2,-10.61,-1.2,872.47,879.34,867.45,1075572471,11298371525901,415969204787863.0
2024-04-08,860.57,2,-11.72,-1.34,873.76,873.76,859.09,1056845550,10485550114905,410224840738518.0
2024-04-09,859.33,2,-1.24,-0.14,864.0,871.18,856.49,976468114,9018900603827,410048513791140.0
2024-04-11,858.1,2,-1.23,-0.14,850.8,860.83,847.54,661659827,6661340842895,409477614871889.0
2024-04-12,860.47,1,2.37,0.28,863.16,867.01,858.24,740523249,8172048326999,410770379390485.0
2024-04-15,852.42,2,-8.05,-0.94,850.21,854.51,842.84,837138348,8174896588498,406964937626281.0
2024-04-16,832.81,2,-19.61,-2.3,845.54,848.24,829.76,931165665,8423064101492,397477242483208.0
2024-04-17,833.03,1,0.22,0.03,839.3,845.45,833.03,930975879,7958566104952,397619667254642.0
2024-04-18,855.65,1,22.62,2.72,833.38,856.05,833.38,956763489,7774116062897,408372865971662.0
2024-04-19,841.91,2,-13.74,-1.61,849.99,850.07,824.99,1100743042,9020717028669,402220419239978.0
2024-04-22,845.82,1,3.91,0.46,844.95,854.16,840.29,898755915,8014043820006,404137812735307.0
2024-04-23,845.44,2,-0.38,-0.04,848.88,853.62,844.5,886593400,7393250528685,404562798591266.0
2024-04-24,862.23,1,16.79,1.99,856.37,863.12,855.79,957921894,7930463876911,412527718373546.0
2024-04-25,853.26,2,-8.97,-1.04,855.78,865.15,853.13,811574905,8018436622819,408543273284626.0
2024-04-26,856.82,1,3.56,0.42,860.0,862.8,852.8,704655856,8089482216636,410420659948729.0
2024-04-29,869.72,1,12.9,1.51,860.53,869.73,860.53,772592926,7575250451944,416568643489746.0
2024-04-30,868.93,2,-0.79,-0.09,872.08,875.64,867.32,792642796,8036165395409,416784439542328.0
2024-05-02,867.48,2,-1.45,-0.17,865.78,870.33,864.98,854449816,7919463012204,416544774263651.0
2024-05-03,865.59,2,-1.89,-0.22,872.27,875.11,865.21,843085137,8669936578304,416261038862808.0
2024-05-07,871.26,1,5.67,0.66,874.69,876.94,869.75,802229139,8043080940733,419337853171662.0
2024-05-08,872.42,1,1.16,0.13,870.11,873.65,862.81,967419140,8407169934014,419922163322925.0
2024-05-09,870.15,2,-2.27,-0.26,871.17,873.53,869.0,1019040873,9789655564600,418824645242297.0
2024-05-10,864.16,2,-5.99,-0.69,873.56,875.21,864.03,961248333,9692426294992,416224870109076.0
2024-05-13,854.43,2,-9.73,-1.13,866.67,867.08,852.75,907147508,8586624608777,411638741725778.0
2024-05-14,862.15,1,7.72,0.9,857.44,865.43,856.88,978602246,9606201162156,415674773820312.0
2024-05-16,870.37,1,8.22,0.95,872.31,874.86,868.51,956088791,9870179730942,419640336083835.0
2024-05-17,855.06,2,-15.31,-1.76,869.06,869.6,854.47,938501648,9247285001086,412645497794751.0
2024-05-20,847.08,2,-7.98,-0.93,856.22,857.51,843.22,1017956271,8345055428621,409036804663475.0
2024-05-21,846.51,2,-0.57,-0.07,849.32,849.32,843.62,1070889760,9568918373268,408693912250196.0
2024-05-22,845.72,2,-0.79,-0.09,850.4,850.59,844.97,914521669,9034343724969,408440572281950.0
2024-05-23,846.58,1,0.86,0.1,846.5,849.32,839.16,1011600274,10684061830782,409466823343756.0
2024-05-24,839.41,2,-7.17,-0.85,840.7,845.48,836.95,816024807,9135537423933,405965263547974.0
