ticker,name,signal_date,avg_target,cur_price,gap_pct,return_pct,excess_return_pct
005930,삼성전자,2025-08-01,85333.0,68900,23.85,-0.86,-1.64
005930,삼성전자,2025-08-01,86667.0,68900,25.79,-0.86,-1.64
005930,삼성전자,2025-08-01,88333.0,68900,28.21,-0.86,-1.64
005930,삼성전자,2025-08-01,89000.0,68900,29.17,-0.86,-1.64
005930,삼성전자,2025-08-22,89667.0,71400,25.58,16.78,8.72
005930,삼성전자,2025-09-15,92000.0,76500,20.26,22.8,11.95
005930,삼성전자,2025-09-17,98667.0,78200,26.17,19.88,8.77
005930,삼성전자,2025-09-17,100333.0,78200,28.3,19.88,8.77
005930,삼성전자,2025-09-19,105000.0,79700,31.74,22.16,5.6
005930,삼성전자,2025-09-22,105333.0,83500,26.15,17.47,2.44
005930,삼성전자,2025-09-23,108667.0,84700,28.3,17.68,0.14
005930,삼성전자,2025-09-30,110333.0,83900,31.51,16.98,1.1
005930,삼성전자,2025-10-15,113333.0,95000,19.3,5.22,-6.05
005930,삼성전자,2025-10-15,115000.0,95000,21.05,5.22,-6.05
005930,삼성전자,2025-10-15,113333.0,95000,19.3,5.22,-6.05
005930,삼성전자,2025-10-15,110000.0,95000,15.79,5.22,-6.05
005930,삼성전자,2025-10-15,115667.0,95000,21.75,5.22,-6.05
005930,삼성전자,2025-10-15,115667.0,95000,21.75,5.22,-6.05
005930,삼성전자,2025-10-31,129000.0,107500,20.0,-9.27,-2.13
005930,삼성전자,2025-10-31,133333.0,107500,24.03,-9.27,-2.13
005930,삼성전자,2025-10-31,141000.0,107500,31.16,-9.27,-2.13
005930,삼성전자,2025-10-31,138333.0,107500,28.68,-9.27,-2.13
005930,삼성전자,2025-10-31,135000.0,107500,25.58,-9.27,-2.13
005930,삼성전자,2025-10-31,135667.0,107500,26.2,-9.27,-2.13
005930,삼성전자,2025-10-31,131667.0,107500,22.48,-9.27,-2.13
005930,삼성전자,2025-10-31,131000.0,107500,21.86,-9.27,-2.13
005930,삼성전자,2025-10-31,132667.0,107500,23.41,-9.27,-2.13
